name,artist,url,release_date,added_at,created_at
No More,Russ,https://open.spotify.com/album/3mX0HbDt7oIzBBJHgQYnDY,2023-08-18,2023-08-23,2023-08-27
Lil Boo Thang,Paul Russell,https://open.spotify.com/album/1j5AROUr8rq5xb2CXDIH1c,2023-08-18,2023-08-23,2023-08-27
Spinnin,Madison Beer,https://open.spotify.com/album/1H231df9UtLpu609triLDa,2023-08-18,2023-08-23,2023-08-27
Can't Break Up Now,"['Old Dominion', 'Megan Moroney']",https://open.spotify.com/album/4mwTxDYJxiUMRdGhpiBbx8,2023-08-18,2023-08-23,2023-08-27
好きな人の好きなものになりたい,鈴木鈴木,https://open.spotify.com/album/2qy4BXc4mjfRlXeQ8O9Inr,2022-12-07,2023-08-23,2023-08-27
年の瀬に,DURDN,https://open.spotify.com/album/7qeOdN9cJZTMI8QVuq8jD2,2022-12-07,2023-08-23,2023-08-27
Miragesong,Deep Sea Diving Club,https://open.spotify.com/album/1UlKV6Ue1vVWHmnTzisGbt,2022-12-07,2023-08-23,2023-08-27
Seed,Mime,https://open.spotify.com/album/7q37XpOyHaEbmsmGJpFrCi,2022-12-07,2023-08-23,2023-08-27
"Sweet Sticky Thing(feat. mabanua, さらさ)",Pyramid,https://open.spotify.com/album/30Yo1lmnPPt7egHTk6kIqR,2022-12-07,2023-08-23,2023-08-27
サマーヌード,Magokoro Brothers,https://open.spotify.com/album/0kSKyD9ypM2p3vSULRXleW,1996,2023-08-23,2023-08-27
Like No One's Done,"['Sincere', 'Chocoholic']",https://open.spotify.com/album/00tVzuX53IxaZ2tk6dGvpZ,2022-12-07,2023-08-23,2023-08-27
Down,Sabrina Song,https://open.spotify.com/album/29K5TNQ78xKRCoObhH9EdX,2022-12-09,2023-08-23,2023-08-27
364,Porsh Bet$,https://open.spotify.com/album/2PfQezIg8hxvdAC1Dh4Cbf,2022-12-06,2023-08-23,2023-08-27
shapeshifter,Kathryn Gallagher,https://open.spotify.com/album/5zBYaBV43Y6nsox1HiUfMy,2022-12-09,2023-08-23,2023-08-27
Won't Be Long Now,Blessing Offor,https://open.spotify.com/album/6TWsl5HF5rEzq811eQOTGc,2022-12-09,2023-08-23,2023-08-27
Seeing Other People,"['Francis Karel', 'Maddie Zahm']",https://open.spotify.com/album/014cyjQZihVY9akGL5uoIx,2022-12-09,2023-08-23,2023-08-27
Need A Favor,Jelly Roll,https://open.spotify.com/album/72HQoHvsJTqQaCh3tKyVrd,2022-12-09,2023-08-23,2023-08-27
Slide All Night,Emotional Oranges,https://open.spotify.com/album/3n0tNdtuPGksNxuAncvMnM,2022-12-09,2023-08-23,2023-08-27
Scared of Falling,Abigail Osborn,https://open.spotify.com/album/0GnxahKPGHRz8unrFjqe7G,2022-12-08,2023-08-23,2023-08-27
Truth Is,Lily Rose,https://open.spotify.com/album/6yYPEmDiTpTMzZdsD3NqGT,2022-12-09,2023-08-23,2023-08-27
Sea Lions,Samia,https://open.spotify.com/album/022mfrvLBF1GgIuHKprUg8,2022-12-07,2023-08-24,2023-08-27
Look At You,Rebecca Black,https://open.spotify.com/album/6q5DYSxSVGAZGXWVgj9nuX,2022-12-07,2023-08-24,2023-08-27
Picking Up (feat. Deb Never),"['Biig Piig', 'Deb Never']",https://open.spotify.com/album/1JSOuBXhYbc5c3IAnwTAHV,2022-12-08,2023-08-24,2023-08-27
happy f***ing birthday,Ethan Bortnick,https://open.spotify.com/album/7AJV5iSnexDnam2InfRQNR,2022-12-09,2023-08-24,2023-08-27
All My Love,KIRBY,https://open.spotify.com/album/2lIpGHB6SBjKsShyLRrZhM,2022-12-05,2023-08-24,2023-08-27
it's been a year,Ashley Cooke,https://open.spotify.com/album/0wsETlKs4fptjLrGDKY2U4,2022-12-06,2023-08-24,2023-08-27
Pendant,Cuco,https://open.spotify.com/album/5Byl3llMQRhBj88mYrEbGS,2022-12-09,2023-08-24,2023-08-27
Girl Like Me,Dove Cameron,https://open.spotify.com/album/5ieBMOA3cYk5kofLMCSnMv,2022-12-09,2023-08-24,2023-08-27
Open Arms (feat. Travis Scott),SZA,https://open.spotify.com/album/1nrVofqDRs7cpWXJ49qTnP,2022-12-08,2023-08-24,2023-08-27
Have Yourself A Merry Little Christmas,Sam Smith,https://open.spotify.com/album/3nCpXy6LlyXWuFR08tMycK,2014-12-05,2023-08-24,2023-08-27
First Love,Hikaru Utada,https://open.spotify.com/album/29U9LtzSF0ftWiLNNw1CP6,1999-03-10,2023-08-24,2023-08-27
Tadashiku Wasureru,kiichi mochizuki,https://open.spotify.com/album/60vwIKq6WNDdg0g5PNkNw9,2022-11-30,2023-08-25,2023-08-27
Ice Slippin,Omar Apollo,https://open.spotify.com/album/3IEILQ7hY9Irwf9ipLanDv,2023-08-25,2023-08-27,2023-08-27
Flower,Yo-Sea,https://open.spotify.com/album/6X7MO86uhjtTrUI4HbwYHA,2023-08-30,2023-09-04,2023-09-09
Moonlight,Yo-Sea,https://open.spotify.com/album/6X7MO86uhjtTrUI4HbwYHA,2023-08-30,2023-09-04,2023-09-09
Aruto,Yo-Sea,https://open.spotify.com/album/6X7MO86uhjtTrUI4HbwYHA,2023-08-30,2023-09-04,2023-09-09
Someday,Yo-Sea,https://open.spotify.com/album/6X7MO86uhjtTrUI4HbwYHA,2023-08-30,2023-09-05,2023-09-09
under the bed,maco marets,https://open.spotify.com/album/3joD3pK9YXG7neuKswbvJC,2016-06-15,2023-09-06,2023-09-09
Crying,BOYNEXTDOOR,https://open.spotify.com/album/45skMBkupbWiAxTeZ77rVa,2023-09-04,2023-09-06,2023-09-09
SWEET BABY,Ketsumeishi,https://open.spotify.com/album/2FEl5PwaafNtwSSzRy2Vti,2023-09-06,2023-09-06,2023-09-09
Dangerous,Madison Beer,https://open.spotify.com/album/1H231df9UtLpu609triLDa,2023-08-18,2023-09-06,2023-09-09
Just Because,Sadie Jean,https://open.spotify.com/album/73Kc0ifKlg9Pw6D8s850BT,2023-05-05,2023-09-06,2023-09-09
Butterfly,Jon Batiste,https://open.spotify.com/album/0cX1ODY38Nd2LuijmfuSjF,2023-08-18,2023-09-07,2023-09-09
Kārewa,"['RIIKI REID', 'Muroki']",https://open.spotify.com/album/3jONCly58XTHko2HF2RTJW,2023-09-01,2023-09-09,2023-09-09
PAALAM,CARLO,https://open.spotify.com/album/6RCw6WQusUr5nqcBvrdxK0,2023-08-31,2023-09-09,2023-09-09
MTJL (Maybe That’s Just Life),Mae Muller,https://open.spotify.com/album/10I7V2DrdIx51MNlkgWj90,2023-08-25,2023-09-09,2023-09-10
それでも明日は,Hana Hope,https://open.spotify.com/album/2tplAesy7fbkjLUbYulqZh,2023-03-15,2023-09-09,2023-09-10
We Should Get Married,Dan + Shay,https://open.spotify.com/album/5DqiJn6X0JGXhP3JMM9C3I,2023-08-25,2023-09-09,2023-09-10
Save Me The Trouble,Dan + Shay,https://open.spotify.com/album/5DqiJn6X0JGXhP3JMM9C3I,2023-08-25,2023-09-09,2023-09-10
Heartbreak On The Map,Dan + Shay,https://open.spotify.com/album/5DqiJn6X0JGXhP3JMM9C3I,2023-08-25,2023-09-09,2023-09-10
Always Gonna Be,Dan + Shay,https://open.spotify.com/album/5DqiJn6X0JGXhP3JMM9C3I,2023-08-25,2023-09-09,2023-09-10
Bigger Houses,Dan + Shay,https://open.spotify.com/album/5DqiJn6X0JGXhP3JMM9C3I,2023-08-25,2023-09-09,2023-09-10
Streets Of Heaven,Tom Odell,https://open.spotify.com/album/6mDhDu6IcH3irMtTu3ExXD,2023-08-18,2023-09-09,2023-09-10
"Tamang Tayo, Maling Tyempo",Joshua Feliciano,https://open.spotify.com/album/0oa4wgOqB8ZRtpS8zNJRwh,2023-08-18,2023-09-09,2023-09-10
My Best Self,"['SYML', 'Elsa y Elmar']",https://open.spotify.com/album/2z07bBhBWhhCEuGPD6FiEl,2023-08-18,2023-09-10,2023-09-10
Notes From A Wrist,d4vd,https://open.spotify.com/album/5pbNr4xCNBBRwPh7DPVSht,2023-08-18,2023-09-10,2023-09-10
Lipstick,Charlie Puth,https://open.spotify.com/album/0xNBKoAOgkjxgDsmoa5lpV,2023-08-18,2023-09-10,2023-09-10
Tomorrow Can Wait,Walk off the Earth,https://open.spotify.com/album/5ypulZuRDqGt71dmJKo1rT,2023-08-18,2023-09-10,2023-09-10
